timestamp,x,y,z
0,-0.507,-1.028,0.209
10,-0.482,-1.01,0.251
20,-0.518,-0.852,0.343
30,-0.711,-0.802,0.544
40,-0.682,-0.797,0.486
50,-0.608,-0.835,0.252
60,-0.659,-0.935,0.165
70,-0.581,-0.949,0.13
80,-0.382,-0.943,0.115
90,-0.242,-0.934,0.05
100,-0.409,-0.772,0.229
110,-0.459,-0.768,0.216
120,-0.231,-0.792,0.039
130,-0.155,-0.773,-0.023
140,-0.306,-0.688,0.079
150,-0.306,-0.604,0.06
160,-0.052,-0.606,-0.128
170,0.041,-0.578,-0.273
180,0.082,-0.507,-0.337
190,-0.033,-0.415,-0.325
200,0.006,-0.37,-0.399
210,0.073,-0.366,-0.462
220,0.113,-0.395,-0.455
230,0.339,-0.421,-0.472
240,0.474,-0.405,-0.492
250,0.555,-0.454,-0.411
260,0.581,-0.342,-0.355
270,0.574,-0.238,-0.288
280,0.563,-0.239,-0.32
290,0.515,-0.205,-0.289
300,0.429,-0.16,-0.28
310,0.413,-0.122,-0.313
320,0.441,-0.099,-0.344
330,0.471,-0.006,-0.406
340,0.488,0.024,-0.399
350,0.489,0.048,-0.361
360,0.422,0.125,-0.302
370,0.315,0.155,-0.217
380,0.303,0.151,-0.215
390,0.441,0.059,-0.29
400,0.497,-0.018,-0.288
410,0.458,-0.008,-0.279
420,0.452,0.001,-0.266
430,0.414,0.016,-0.288
440,0.33,0.035,-0.343
450,0.23,-0.013,-0.436
460,0.183,-0.025,-0.54
470,0.058,-0.09,-0.597
480,0.03,-0.16,-0.583
490,0.191,-0.209,-0.72
500,0.277,-0.305,-0.765
510,0.355,-0.279,-0.745
520,0.331,-0.202,-0.741
530,0.291,-0.159,-0.749
540,0.161,-0.12,-0.72
550,0.169,-0.15,-0.75
560,0.256,-0.17,-0.772
570,0.279,-0.191,-0.756
580,0.201,-0.179,-0.691
590,0.154,-0.16,-0.624
600,0.133,-0.108,-0.676
610,0.116,-0.063,-0.687
620,0.206,-0.075,-0.768
630,0.255,-0.024,-0.686
640,0.292,0.036,-0.672
650,0.322,0.006,-0.592
660,0.3,0.043,-0.476
670,0.245,0.036,-0.441
680,0.193,0.036,-0.395
690,0.171,0.016,-0.324
700,0.137,-0.012,-0.246
710,0.079,-0.037,-0.267
720,0.15,-0.051,-0.35
730,0.161,-0.165,-0.44
740,0.058,-0.144,-0.353
750,0.033,-0.178,-0.358
760,0.025,-0.207,-0.374
770,-0.027,-0.217,-0.47
780,-0.092,-0.203,-0.54
790,-0.116,-0.133,-0.575
800,-0.106,-0.093,-0.538
810,-0.04,-0.049,-0.508
820,0.103,-0.059,-0.547
830,0.268,-0.094,-0.703
840,0.301,-0.154,-0.703
850,0.363,-0.179,-0.66
860,0.453,-0.182,-0.671
870,0.418,-0.142,-0.704
880,0.397,-0.077,-0.874
890,0.339,0.013,-0.887
900,0.171,0.064,-0.818
910,0.126,0.085,-0.904
920,0.109,-0.001,-0.884
930,0.09,-0.02,-0.805
940,0.152,-0.098,-0.85
950,0.181,-0.115,-0.766
960,0.267,-0.05,-0.744
970,0.318,0.007,-0.726
980,0.345,0.001,-0.708
990,0.409,0.007,-0.783
1000,0.42,-0.044,-0.811
1010,0.355,-0.063,-0.798
1020,0.349,-0.092,-0.792
1030,0.334,-0.148,-0.723
1040,0.385,-0.116,-0.68
1050,0.364,-0.096,-0.557
1060,0.417,-0.135,-0.634
1070,0.401,-0.221,-0.58
1080,0.42,-0.272,-0.62
1090,0.534,-0.309,-0.643
1100,0.567,-0.346,-0.595
1110,0.513,-0.378,-0.606
1120,0.437,-0.377,-0.556
1130,0.264,-0.412,-0.538
1140,0.103,-0.494,-0.585
1150,0.095,-0.535,-0.708
1160,0.051,-0.533,-0.678
1170,-0.103,-0.491,-0.642
1180,-0.202,-0.498,-0.652
1190,-0.209,-0.573,-0.65
1200,-0.239,-0.632,-0.726
1210,-0.332,-0.692,-0.741
1220,-0.39,-0.852,-0.708
1230,-0.373,-0.899,-0.72
1240,-0.319,-0.798,-0.709
1250,-0.118,-0.691,-0.753
1260,0.1,-0.63,-0.802
1270,0.078,-0.541,-0.673
1280,-0.015,-0.342,-0.61
1290,-0.081,-0.287,-0.588
1300,-0.204,-0.305,-0.573
1310,-0.286,-0.243,-0.565
1320,0.725,0.298,-1.691
1330,0.635,-0.644,-1.549
1340,-0.343,-0.494,-0.175
1350,-1.059,0.246,0.489
1360,-0.591,0.292,-0.037
1370,0.084,-0.355,-0.599
