timestamp,x,y,z
0,22.523,0.273,-18.856
10,22.523,-1.299,-18.856
20,22.523,-2.987,-18.856
30,22.523,-4.619,-18.856
40,21.182,-4.427,-18.856
50,18.932,-3.618,-18.856
60,16.998,-2.767,-18.856
70,15.547,-1.392,-15.987
80,13.497,0.457,-9.912
90,12.091,2.25,-3.213
100,11.316,4.005,3.435
110,10.888,5.929,10.894
120,10.288,7.316,19.683
130,10.539,7.016,20.37
140,12.353,6.222,20.37
150,14.63,5.049,20.37
160,16.239,3.16,20.37
170,16.557,1.805,20.37
180,16.549,0.511,20.37
190,16.36,-0.866,20.37
200,15.321,-1.519,20.37
210,13.268,-1.507,20.37
220,11.06,-0.894,20.37
230,8.494,0.439,20.37
240,6.053,1.002,17.439
250,4.877,0.282,10.079
260,6.645,-0.414,1.17
270,9.845,-0.7,-9.059
280,14.129,-0.465,-18.856
290,19.181,-0.304,-18.856
300,22.523,0.279,-18.856
310,22.523,0.615,-18.856
320,22.523,0.418,-18.856
330,22.523,-1.154,-18.856
340,22.523,-3.231,-18.856
350,22.523,-5.832,-18.856
360,21.437,-6.637,-18.856
370,17.093,-5.832,-15.303
380,13.436,-4.761,-10.564
390,11.428,-3.302,-5.967
400,11.526,-2.788,-1.19
410,12.02,-1.735,4.043
420,12.653,-0.794,9.719
430,13.349,-0.787,16.075
440,13.727,-0.319,20.37
450,13.919,0.116,20.37
460,14.115,-0.695,20.37
470,14.035,-1.444,20.37
480,13.883,-2.066,20.37
490,14.094,-3.192,20.37
500,14.472,-4.535,20.37
510,14.329,-5.17,20.37
520,12.873,-4.71,20.37
530,10.651,-4.301,20.37
540,8.003,-3.553,20.37
550,5.83,-3.687,15.076
560,4.69,-3.814,9.263
570,5.723,-4.271,2.434
580,8.44,-3.934,-4.854
590,11.89,-2.563,-12.07
600,16.228,-1.807,-18.856
610,20.371,-1.043,-18.856
620,22.523,0.172,-18.856
630,22.523,0.841,-18.856
640,22.523,0.112,-18.856
650,22.523,-1.468,-18.856
660,22.523,-3.083,-18.856
670,22.482,-4.025,-18.856
680,18.632,-3.734,-16.813
