timestamp,x,y,z
0,0.091,-0.019,0.017
10,0.078,-0.03,-0.004
20,0.077,0.003,0.025
30,0.093,0,0.041
40,0.085,0.005,0.008
50,0.073,-0.005,-0.002
60,0.11,0.002,-0.011
70,0.072,0.01,-0.02
80,0.055,-0.017,0.031
90,0.053,-0.007,-0.019
100,0.099,-0.017,0.064
110,0.051,0.006,0.011
120,0.059,0.005,-0.011
130,0.091,0.005,0.019
140,0.1,-0.022,0.002
150,0.059,-0.013,0.041
160,0.079,-0.003,0.05
170,0.069,0.015,0.034
180,0.069,-0.005,-0.008
190,0.094,-0.016,0.028
200,0.098,-0.005,0.024
210,0.055,-0.011,0.026
220,0.084,0.01,0
230,0.105,0.015,0.048
240,0.079,-0.003,-0.014
250,0.056,0.001,0.042
260,0.094,0.006,0.06
270,0.108,0.002,0.071
280,0.071,-0.006,0.006
290,0.063,-0.012,0.047
300,0.111,-0.024,-0.012
310,0.063,-0.028,-0.015
320,0.077,-0.009,-0.002
330,0.098,-0.03,0.004
340,0.089,-0.004,-0.013
350,0.056,0.005,-0.007
360,0.079,0.01,0.011
370,0.075,0.003,0.011
380,0.108,-0.023,0.014
390,0.067,-0.013,0.046
400,0.115,-0.005,0.008
410,0.094,-0.025,0.018
420,0.09,-0.001,-0.002
430,0.111,0.005,0.046
440,0.085,-0.027,0.029
450,0.074,-0.006,0
460,0.055,0.016,0.006
470,0.1,-0.012,0.072
480,0.072,-0.007,-0.011
490,0.065,-0.019,0.006
500,0.102,-0.024,0.014
510,0.078,0.002,0.031
520,0.065,0.015,-0.048
530,0.08,0.03,-0.011
540,0.08,-0.007,-0.017
550,0.047,0.009,0.073
560,0.079,0.002,0.049
570,0.104,-0.007,-0.015
580,0.078,0.033,0.025
590,0.098,-0.037,-0.009
600,0.098,0,0.001
610,0.072,-0.004,-0.007
620,0.099,-0.001,-0.056
630,0.112,-0.007,0.044
640,0.093,-0.007,0.006
650,0.047,-0.006,0.005
660,0.083,-0.004,0.008
670,0.075,0.015,0.059
680,0.071,-0.003,0.002
690,0.067,-0.007,-0.024
700,0.103,0.015,-0.019
710,0.074,-0.028,0.018
720,0.083,0.009,-0.019
730,0.048,0.006,0.031
740,0.055,-0.029,-0.011
750,0.077,-0.003,-0.013
760,0.087,-0.029,0.012
770,0.059,0.012,0.018
780,0.06,0.015,-0.009
790,0.094,0.01,0.041
800,0.055,0.031,0.036
810,0.059,-0.013,-0.009
820,0.075,-0.003,0.059
830,0.117,0.009,0.055
840,0.081,-0.035,0.034
850,0.1,0.026,-0.001
860,0.106,0.018,-0.019
870,0.083,0.009,0.023
880,0.102,0.01,0.016
890,0.091,-0.023,0.004
900,0.092,0.026,0.035
910,0.083,0.01,0.008
920,0.096,0,0.043
930,0.084,0,-0.006
940,0.053,-0.022,0.029
950,0.05,0.014,0.017
960,0.079,0.015,0.008
970,0.078,0.016,-0.011
980,0.074,0.002,0.037
990,0.075,-0.028,0.012
1000,0.074,-0.01,-0.006
1010,0.078,0.006,-0.002
1020,0.104,0.024,0.026
1030,0.09,0.024,0.012
1040,0.083,0.006,0.013
1050,0.091,-0.005,0.026
1060,0.081,-0.001,-0.005
1070,0.079,0.001,0.042
1080,0.048,-0.004,0.004
1090,0.089,-0.01,0.029
1100,0.09,-0.023,0.001
1110,0.059,-0.025,-0.012
1120,0.071,-0.009,0.043
