timestamp,x,y,z
0,9.505,2.724,-2.091
10,9.505,1.624,-2.503
20,9.505,1.111,-2.752
30,9.505,0.662,-2.073
40,9.505,0.277,-1.24
50,9.505,-0.116,-0.159
60,9.505,-0.539,0.8
70,9.505,-1.043,1.494
80,9.505,-1.266,2.395
90,9.505,-0.778,2.86
100,9.505,-0.45,3.063
110,7.013,-0.342,2.982
120,4.69,-0.043,2.318
130,2.521,-0.015,1.435
140,0.485,-0.35,0.843
150,-1.455,-0.391,0.47
160,-3.249,-0.475,0.092
170,-4.619,-0.822,-0.128
180,-5.199,-1.14,-0.26
190,-5.763,-1.178,0.055
200,-6.817,-0.323,0.648
210,-8.316,0.376,0.752
220,-9.824,0.366,0.311
230,-11.078,-0.104,-0.621
240,-12.164,-0.115,-1.896
250,-13.494,0.028,-2.697
260,-14.659,-0.271,-3.298
270,-15.36,-0.201,-3.961
280,-15.824,-0.173,-4.407
290,-15.885,0.011,-4.778
300,-15.495,0.404,-4.897
310,-14.336,0.443,-4.926
320,-12.278,0.74,-4.611
330,-9.476,1.23,-3.758
340,-6.197,1.63,-2.128
350,-2.621,2.294,-0.713
360,2.187,2.468,0.036
370,7.154,2.24,0.718
380,9.505,2.342,1.544
390,9.505,2.638,2.405
400,9.505,3.004,3.152
410,9.505,2.779,2.942
420,9.505,2.399,2.024
430,9.505,1.885,1.101
440,9.505,1.77,0.673
450,9.505,1.614,0.603
460,9.505,1.402,0.833
470,9.505,1.441,0.997
480,9.505,1.122,1.088
490,9.505,0.825,0.983
500,9.505,0.806,0.875
510,7.391,0.714,0.814
520,4.999,0.568,0.445
530,2.933,0.246,-0.169
540,0.966,-0.012,-0.65
550,-0.985,-0.504,-0.876
560,-2.607,-0.725,-0.749
570,-4.039,-0.772,-0.401
580,-5.5,-0.692,0.067
590,-6.937,-0.34,0.421
600,-8.265,-0.32,0.421
610,-9.35,-0.53,0.072
620,-10.373,-0.609,-0.534
630,-11.221,-0.694,-0.875
640,-12.124,-0.557,-1.089
650,-12.905,-0.349,-1.119
660,-13.223,-0.182,-1.149
670,-13.164,0.052,-1.294
680,-12.858,0.016,-1.399
690,-12.245,-0.002,-1.672
700,-11.46,0.239,-1.841
710,-10.573,0.263,-1.824
720,-9.865,0.502,-1.51
730,-8.775,0.692,-1.119
740,-7.622,0.814,-0.903
750,-5.704,0.872,-1.105
760,-3.438,0.595,-1.233
770,-1.148,0.37,-1.05
780,0.981,0.597,-0.634
790,3.279,0.931,-0.372
800,6.21,1.193,-0.281
810,9.421,1.249,-0.15
820,9.505,1.116,0.124
830,9.505,1.116,0.876
840,9.505,1.212,1.58
850,9.505,1.254,2.151
860,9.505,0.828,2.248
870,9.505,0.439,2.209
880,9.505,0.263,1.829
890,9.505,0.182,1.536
900,9.505,0.145,1.541
910,9.505,0.202,1.522
920,9.505,0.204,1.32
930,7.827,-0.083,0.953
